Subject,Activity,DataType,recordCount,Ave of tBodyAcc-mean()-X,Ave of tBodyAcc-mean()-Y,Ave of tBodyAcc-mean()-Z,Ave of tBodyAcc-std()-X,Ave of tBodyAcc-std()-Y,Ave of tBodyAcc-std()-Z,Ave of tGravityAcc-mean()-X,Ave of tGravityAcc-mean()-Y,Ave of tGravityAcc-mean()-Z,Ave of tGravityAcc-std()-X,Ave of tGravityAcc-std()-Y,Ave of tGravityAcc-std()-Z,Ave of tBodyAccJerk-mean()-X,Ave of tBodyAccJerk-mean()-Y,Ave of tBodyAccJerk-mean()-Z,Ave of tBodyAccJerk-std()-X,Ave of tBodyAccJerk-std()-Y,Ave of tBodyAccJerk-std()-Z,Ave of tBodyGyro-mean()-X,Ave of tBodyGyro-mean()-Y,Ave of tBodyGyro-mean()-Z,Ave of tBodyGyro-std()-X,Ave of tBodyGyro-std()-Y,Ave of tBodyGyro-std()-Z,Ave of tBodyGyroJerk-mean()-X,Ave of tBodyGyroJerk-mean()-Y,Ave of tBodyGyroJerk-mean()-Z,Ave of tBodyGyroJerk-std()-X,Ave of tBodyGyroJerk-std()-Y,Ave of tBodyGyroJerk-std()-Z,Ave of tBodyAccMag-mean(),Ave of tBodyAccMag-std(),Ave of tGravityAccMag-mean(),Ave of tGravityAccMag-std(),Ave of tBodyAccJerkMag-mean(),Ave of tBodyAccJerkMag-std(),Ave of tBodyGyroMag-mean(),Ave of tBodyGyroMag-std(),Ave of tBodyGyroJerkMag-mean(),Ave of tBodyGyroJerkMag-std(),Ave of fBodyAcc-mean()-X,Ave of fBodyAcc-mean()-Y,Ave of fBodyAcc-mean()-Z,Ave of fBodyAcc-std()-X,Ave of fBodyAcc-std()-Y,Ave of fBodyAcc-std()-Z,Ave of fBodyAccJerk-mean()-X,Ave of fBodyAccJerk-mean()-Y,Ave of fBodyAccJerk-mean()-Z,Ave of fBodyAccJerk-std()-X,Ave of fBodyAccJerk-std()-Y,Ave of fBodyAccJerk-std()-Z,Ave of fBodyGyro-mean()-X,Ave of fBodyGyro-mean()-Y,Ave of fBodyGyro-mean()-Z,Ave of fBodyGyro-std()-X,Ave of fBodyGyro-std()-Y,Ave of fBodyGyro-std()-Z,Ave of fBodyAccMag-mean(),Ave of fBodyAccMag-std(),Ave of fBodyBodyAccJerkMag-mean(),Ave of fBodyBodyAccJerkMag-std(),Ave of fBodyBodyGyroMag-mean(),Ave of fBodyBodyGyroMag-std(),Ave of fBodyBodyGyroJerkMag-mean(),Ave of fBodyBodyGyroJerkMag-std()
1,WALKING,Train,347,0.26569692058213257,-0.01829817251760807,-0.1078457345461095,-0.5457953313283256,-0.36771621822737754,-0.5026457465628242,0.744867411573487,-0.08255625798559084,0.07233987038904903,-0.9598594359365994,-0.9511506274582132,-0.9258175908674352,0.07709304951268012,0.01659084388023055,-0.00910758730117003,-0.524721922818732,-0.47041240351123925,-0.7173222748818444,-0.020876406432017294,-0.08807227294005764,0.08626416665979827,-0.6865557152017291,-0.4509798104995677,-0.5974961367951008,-0.09711201972659943,-0.04171648082939481,-0.04713939854775216,-0.6378126872103747,-0.6344722445504323,-0.6645919777864553,-0.4536329437688185,-0.49709640203832856,-0.4536329437688185,-0.49709640203832856,-0.5454316120665706,-0.5159221675551585,-0.4754047858023054,-0.4998395937458213,-0.6395174326426513,-0.6520507709106629,-0.5318951612582133,-0.406435448904438,-0.5964111652536024,-0.5530606166634006,-0.3901509396470606,-0.49858309167608067,-0.5473488924357637,-0.5073436179698588,-0.695305113832853,-0.5439797761278673,-0.46625167653337185,-0.7378619326801152,-0.6232191823115274,-0.5053094340700287,-0.5535290654256484,-0.7082634208616715,-0.4298258326487032,-0.6504761621325649,-0.47844852335417865,-0.5897102312178674,-0.4990757656240922,-0.5418230795700288,-0.5350027703377521,-0.5665766703976945,-0.6459706552988473,-0.6858112626340058
2,WALKING,Test,302,0.27311311578807945,-0.019132318317483445,-0.11564995817549668,-0.6055864971592715,-0.428962986589404,-0.589360062210596,0.6607828666887418,-0.1472198869104106,0.13486533509072848,-0.9630155082450331,-0.960033560165563,-0.9453653839072848,0.0785353156747351,0.007087712497649007,7.557607483774844e-4,-0.557809603123841,-0.4918758898317882,-0.7418853883112582,-0.05170306578211921,-0.05684201868178808,0.08725994222913908,-0.7106489278158941,-0.7229436743377483,-0.6348889278430463,-0.08755874916688741,-0.04339868354536424,-0.055754182818874176,-0.6716791033112584,-0.7835954667284768,-0.6746119332930464,-0.5352818005417219,-0.5528125456437086,-0.5352818005417219,-0.5528125456437086,-0.5877774454354304,-0.5121152784152317,-0.6147710548931458,-0.6805848878807946,-0.746559539039735,-0.7400887336556291,-0.5737709114294702,-0.43256658130235104,-0.6300812221248344,-0.6197881028033112,-0.46472386291324513,-0.6006786148350993,-0.5616820496221855,-0.5089037990145695,-0.7157453304039735,-0.5951056128950332,-0.5091475436738411,-0.7670870154966888,-0.6387176945930463,-0.7220689786357617,-0.6015948896543046,-0.7345885401821192,-0.7271677410264901,-0.683114494539735,-0.5145698613168875,-0.6466623084572847,-0.509746432970861,-0.5188007977092715,-0.6997429452218543,-0.7253103376887418,-0.7516150783609272,-0.7441949814403973
3,WALKING,Train,341,0.2734287196363636,-0.01785606738495601,-0.10649263242909678,-0.6234136020469209,-0.4800159206976539,-0.653625579293255,0.7078143533431085,-0.02605904803287391,0.048093790419061574,-0.9664575656304986,-0.9445645371260997,-0.9269662782111437,0.07017312619888563,0.014466432906041053,-5.268188728753656e-4,-0.6354846880410557,-0.5572118677378299,-0.796066240234604,-0.02484906828284458,-0.07435653084428152,0.08668754971190616,-0.6992621957058651,-0.7630221817008798,-0.7094834403225806,-0.09915546096334311,-0.040192394369501463,-0.0521178264170088,-0.6893284286070381,-0.842659862111437,-0.7430285005659825,-0.5631408027700586,-0.5912247803064516,-0.5631408027700586,-0.5912247803064516,-0.6501824343284457,-0.6076582141703812,-0.6431501216480938,-0.6740102909794722,-0.7840566562463342,-0.8036613637243402,-0.625733289873607,-0.5017799385052786,-0.6996568285923753,-0.6238050151994134,-0.5027536397958945,-0.657443765803519,-0.6458934966304986,-0.5829499191577419,-0.7801016441935484,-0.657844055881525,-0.5598511860884077,-0.8108060165982405,-0.6420977197785924,-0.7751449850733138,-0.6707347089964809,-0.719276622702346,-0.7585052872140763,-0.7510088756598241,-0.5790764537580645,-0.663079838985044,-0.6047521080727273,-0.6156436948573607,-0.7168221442791789,-0.7038394030070382,-0.8100854986510264,-0.810032718739003
4,WALKING,Test,194,0.2770344647525773,-0.013349681774690722,-0.10591613592783505,-0.6838644660943298,-0.5896093305396907,-0.741959040257732,0.7314565098969072,0.072347989306416,0.19399343376804123,-0.967576704329897,-0.9417065232113402,-0.9367242332731959,0.07801622379536081,-0.0010311298138298973,-0.007370700696030929,-0.7010667374381444,-0.6709767013762886,-0.8595025247938144,-0.02987267529793814,-0.07500865566752578,0.0956607416628866,-0.7509159608350515,-0.828888294742268,-0.7459042258247423,-0.10509869233865979,-0.041062442691237114,-0.060866534304432986,-0.7784795857216494,-0.9114363167525773,-0.7905782543298968,-0.6375329798149485,-0.670122122716495,-0.6375329798149485,-0.670122122716495,-0.7223405574226804,-0.7102460868556701,-0.7082210878865979,-0.7491054733659794,-0.8495813558247423,-0.8705795179381444,-0.6989943442268041,-0.6109666056747423,-0.7849641190206186,-0.6793164954574742,-0.6058790790226805,-0.7399201719072165,-0.7179737249716495,-0.6846484039175258,-0.8453838954123711,-0.710952957814433,-0.679116699128866,-0.8723486158762886,-0.7080970032783506,-0.8518592412371134,-0.7239136833505154,-0.7659318373659794,-0.818105282886598,-0.7788636492783505,-0.6682736659587629,-0.7249797504639175,-0.702045896773196,-0.7232610971649485,-0.7851729367010309,-0.7693307603608247,-0.8676019442783505,-0.8841878068041237
4,WALKING_UPSTAIRS,Test,123,0.26968585514634147,-0.017108509944260164,-0.11005335932520326,-0.4811578153308943,-0.38425532200723567,-0.6582857194308943,0.6673774939024391,0.176064219895122,0.11703063477235773,-0.9548458682113821,-0.9409598386178861,-0.9487836163414635,0.08020058760162602,0.010681219462138205,-0.007378563152439029,-0.5226868320309755,-0.44698012864634146,-0.8178819875609756,-0.027473566188373984,-0.08458137298617886,0.09580698674715447,-0.6232957363089431,-0.7498894566666666,-0.6955707370731707,-0.11221346965365854,-0.03843447345284553,-0.05298636814439024,-0.6375280668292683,-0.8884120033333334,-0.6817954183495935,-0.441789745892683,-0.5062973650406505,-0.441789745892683,-0.5062973650406505,-0.5516650627530895,-0.5478902327560976,-0.5743852495902438,-0.639915777398374,-0.771259192195122,-0.8025599419512195,-0.5181034097154472,-0.39156126804146346,-0.7083462753658537,-0.46858837104552836,-0.4223346494797561,-0.6596234838211382,-0.548003358486179,-0.47086107781918707,-0.793248930406504,-0.5400024526447155,-0.45937758863658534,-0.8419270600813008,-0.537445270313821,-0.7994596303252033,-0.6347291174471545,-0.6520627311707318,-0.7273362064227642,-0.7485190786178861,-0.497723469494309,-0.5908825424796748,-0.5293017946430894,-0.5769916833577236,-0.6833149552113821,-0.6746316351219512,-0.7934581322764227,-0.8298314746341463
5,WALKING,Train,302,0.2791779603013245,-0.015483345533619205,-0.10566173681688741,-0.5076910113917218,-0.4027249060781458,-0.6464436401754967,0.6981537190728477,0.11231310973675498,0.09216071974499039,-0.96462910880794706,-0.9399737779503311,-0.9420786788410596,0.08410198996225166,0.0017656830384106,-0.0029537113427350985,-0.5758905356798013,-0.5065443586096027,-0.7845619948675497,-0.029451687364304636,-0.07743164455960265,0.08662671167450331,-0.7099556769834436,-0.7056383066887417,-0.6065898173807946,-0.10352287714735099,-0.04906245193741722,-0.050625816012251655,-0.6625813103344371,-0.7741142703642384,-0.5646807712490067,-0.46086641556870866,-0.5216234517119205,-0.46086641556870866,-0.5216234517119205,-0.5893138700066225,-0.5890312681331126,-0.6027702848258278,-0.6640783835327815,-0.7073835175827815,-0.734187493344371,-0.5512377051324503,-0.44023243179503313,-0.6961718114900662,-0.4928298857486755,-0.42216217110033116,-0.6493512107483443,-0.6047698694387417,-0.5509919698574173,-0.7687623579801325,-0.5840136269834437,-0.49150043430390716,-0.7988355638079471,-0.6322393008298013,-0.7170621878145695,-0.5373291272932781,-0.7357385771854305,-0.702290390960265,-0.6693536874834437,-0.5285030227450331,-0.5942595297569536,-0.5731761770441722,-0.6134851236092714,-0.6773557557033112,-0.7157311481456954,-0.7488293095364239,-0.7356106024834437
6,WALKING,Train,236,0.2694341519025424,-0.01639111239368644,-0.11790069208474577,-0.6476691703334746,-0.5531423960788561,-0.7898450775423729,0.670506153601695,0.06123213664618644,0.058470277855847456,-0.9565189894067797,-0.9526131668220339,-0.9406466095338983,0.08664350911495763,0.0018306078819491523,-8.109309896186432e-4,-0.6671987215025423,-0.6273570974105933,-0.871721440720339,-0.03428402341470339,-0.07725701162639831,0.10430875463894068,-0.7670686730529662,-0.7614380685169492,-0.7234902061538135,-0.0919680285336017,-0.04376567557372882,-0.05715134115076271,-0.739023005,-0.8200440630932203,-0.7063850715716101,-0.6191479504753813,-0.6267871098351694,-0.6191479504753813,-0.6267871098351694,-0.701327652220339,-0.6594523545762713,-0.6904881456144067,-0.7226364435161017,-0.7800469662288135,-0.7982027469067797,-0.6466203026525423,-0.5783550996190678,-0.8147383651694915,-0.6497721616297033,-0.5686091621210593,-0.793153623220339,-0.6777798177050848,-0.6605945467500001,-0.8596036724152543,-0.6866777979927966,-0.6163297045016949,-0.8825119095338982,-0.7100608165084746,-0.7616250618220339,-0.6681138814792372,-0.7861803111326271,-0.7641081180932203,-0.7704674563135593,-0.6314954539823728,-0.6828160797161018,-0.6528606640360168,-0.6699808604961864,-0.7386095039966102,-0.7609072363008474,-0.8024720226271187,-0.8070057136016949
6,WALKING_UPSTAIRS,Train,89,0.2801790984269663,-0.020694959111797754,-0.1109400293258427,-0.12700060055865167,0.121465311011236,-0.3613816088840449,0.736951892247191,-0.1031908082022471,0.01848330483685394,-0.965208976741573,-0.9464846147191012,-0.9306541886516854,0.0674351008988764,-0.0031040122808988786,-0.006098688406741578,-0.17155396135505624,0.004090882033820183,-0.3869009266179775,-0.06743093818876406,-0.05299484185247191,0.07876256692808989,-0.35344952441573035,-0.26778134204494386,-0.27221502276179765,-0.05891285577640449,-0.05007003648426967,-0.04331032592831461,-0.034200118438202226,-0.3000145480112359,-0.05099238942516851,-0.05540826923820225,-0.1046088667865169,-0.05540826923820225,-0.1046088667865169,-0.15388888882022475,-0.08790044461797748,-0.17562499491056174,-0.20118078877415724,-0.20267603924719102,-0.23683550005235957,-0.13375797298876407,0.10200387882022469,-0.3363222241573034,-0.1272456149191011,0.05923010404494383,-0.43240940753932583,-0.2089562025,-0.0871500384348314,-0.3529815682696629,-0.20709597167200003,0.03546782015730332,-0.41962147395505617,-0.07883276378314613,-0.2487957414494382,-0.08198304955617976,-0.44541280420224716,-0.28620515505617977,-0.41462115317977527,-0.0562800368966292,-0.2741713419662921,-0.07597343893258428,-0.11028850707235949,-0.15624071551685392,-0.38281698015955057,-0.25258256356179776,-0.270829337453146
7,WALKING_UPSTAIRS,Train,308,0.2702116978149351,-0.018790488766818183,-0.1124923753883117,-0.577518324748052,-0.5464033653457793,-0.4564736422569805,0.6812891208441558,-0.04202214524967534,0.034216071192860374,-0.9565381785876623,-0.9553125540909091,-0.9233047240909091,0.08318295731688312,0.00760909767418831,-0.00791725696048701,-0.6151313774082793,-0.622997416262013,-0.6643368605444155,-0.05187169294077923,-0.0646077113078896,0.09776717214061688,-0.6871554740974026,-0.6524086579090909,-0.6633407603311687,-0.09420373761826624,-0.041440140608279226,-0.06103079281487013,-0.7017312004844155,-0.6749201149574675,-0.7508087055941558,-0.5113120367474027,-0.5106698791585389,-0.5113120367474027,-0.5106698791585389,-0.6228157676802923,-0.5505602305857142,-0.5818998979675325,-0.5986707958392857,-0.7131913483376623,-0.6580178449483767,-0.5930112885649351,-0.563547785174026,-0.5310059414955519,-0.572347541484091,-0.567046977262987,-0.4607921232773052,-0.6375219402438312,-0.6416873338502272,-0.6425157165742857,-0.6267857445844156,-0.6285316307194805,-0.6848564389538961,-0.6437675784935065,-0.6304192750061688,-0.6550833549058441,-0.7038836468961038,-0.6711619228376624,-0.6989495189058442,-0.5183238788246753,-0.5838197960922077,-0.5533600096581819,-0.5506832549084416,-0.6288772727911364,-0.6509236482077922,-0.668879188156396,-0.668963362464935
8,WALKING_UPSTAIRS,Train,281,0.2707590632953737,-0.018189497468861213,-0.10680962368398576,-0.5829588630174376,-0.3493837320462635,-0.4994726879131673,0.6474981754092526,0.030321111311886067,0.08365424068079355,-0.9542566660355872,-0.9484464504733096,-0.9231806636014235,0.08421574537551602,8.603015817864772e-4,-0.01967199129943061,-0.5759930739117437,-0.45872492516797153,-0.6683567847551601,0.003590538971601422,-0.09107750983266903,0.06408676115619218,-0.6562192422818506,-0.5709412370192171,-0.5113920380128115,-0.10496985520035587,-0.04009222403316726,-0.058288714836654806,-0.6749844522402135,-0.6830869302889679,-0.6959703017544483,-0.4685225928434165,-0.5540389792661922,-0.4685225928434165,-0.5540389792661922,-0.5342486166120285,-0.5644719999615658,-0.47621494382619217,-0.5814228853412812,-0.673625525658363,-0.7158383855160142,-0.5818314146483986,-0.3749442362064057,-0.5509793887199288,-0.5853434605355872,-0.37865645896797145,-0.5132063129590748,-0.5916350091060498,-0.49590621556939507,-0.6442858024067616,-0.5985462452366548,-0.4563683958569395,-0.691480916950178,-0.6013824212483985,-0.5759384827113879,-0.5255629190474377,-0.6752753530782919,-0.5730872921725979,-0.5539685878697509,-0.5121067928569395,-0.6516380762861211,-0.5292449111306049,-0.6180274149110321,-0.6099842891800712,-0.6366738911441281,-0.7021562154672598,-0.7557172999644128
9,WALKING_UPSTAIRS,Test,288,0.2703138416215278,-0.020946655541239582,-0.10123382621388889,-0.5556565445381944,-0.5758878952125001,-0.5061117760818055,0.6708455455555555,-0.046744699950902774,0.10435365303274308,-0.9587846661805556,-0.9499381152083334,-0.9205543178159722,0.08401714302916666,0.006784858483993056,-0.0010299808819444441,-0.5783051613600694,-0.6789238722743055,-0.7216100945694445,-0.07013181545614584,-0.07298843129916667,0.10909291323798612,-0.6764523925694444,-0.6704982207013889,-0.5875576922914584,-0.08922549306402777,-0.03973444218159722,-0.053402884281875,-0.7617108665625,-0.7732738788541667,-0.7446560382986112,-0.5051834705091875,-0.5530382553147917,-0.5051834705091875,-0.5530382553147917,-0.6216082450923611,-0.6088621453847222,-0.5502018665725693,-0.6631983850347222,-0.7629795809375001,-0.7861768920486111,-0.5792584044086806,-0.6102678040902778,-0.5921191228042709,-0.5479957449079861,-0.586766083232639,-0.5010740069659028,-0.6213771413128472,-0.6997666145694444,-0.7029319279965278,-0.5728198937339931,-0.6790658550034723,-0.7391399227083333,-0.6398632195590278,-0.6839242876006945,-0.6126804631638888,-0.6906898955347223,-0.6672032207604166,-0.6194686341277779,-0.5531864482951389,-0.6244568271829861,-0.609193721940625,-0.6116193431909722,-0.7008630979861111,-0.6977294326215278,-0.7864739542013889,-0.8012962926388889
10,WALKING_UPSTAIRS,Test,60,0.2792260805,-0.013741069933333332,-0.1082356298,-0.9769146671666666,-0.9291410916333334,-0.972264913,0.5826375121666666,0.2814715215,0.1506301434,-0.9719009915,-0.9615175248333333,-0.9737183023333333,0.07751305508333334,0.0033083178638333324,5.101052748333342e-4,-0.977836345,-0.9625103298333333,-0.98521482950000006,-0.03424484349666666,-0.078152882769,0.0966117812,-0.9704295458333333,-0.9768509748333334,-0.957569497,-0.0984885261,-0.038682078683333336,-0.05604348839666667,-0.9784833521666667,-0.983924353,-0.9823181391666667,-0.9617663145,-0.942239747,-0.9617663145,-0.942239747,-0.978933889,-0.9702882948333333,-0.9483946826666667,-0.9464602671666666,-0.9843145413333333,-0.9792574083333333,-0.9753106968333334,-0.940255585,-0.9760610501666667,-0.9782498448333333,-0.9283000787833333,-0.9715283706666666,-0.9781203061666667,-0.9634427765,-0.9826301395,-0.9796124291666667,-0.9643878260000001,-0.9864711005,-0.9661191675,-0.976870853,-0.9572695305,-0.971946495,-0.9770340218333333,-0.9614996038333333,-0.9513486186666666,-0.9469763211666666,-0.9704360128333334,-0.9693393413333333,-0.9589649573333333,-0.94776606,-0.9804382703333333,-0.9789975373333333
